timestamp_utc,epoch_unix,temperature_C
2024-05-14T09:00:00Z,1715677200,-9.37931
2024-05-14T12:00:00Z,1715688000,-9.34354
2024-05-14T15:00:00Z,1715698800,-8.18
2024-05-14T18:00:00Z,1715709600,-6.98209
2024-05-14T21:00:00Z,1715720400,-6.83475
2024-05-15T00:00:00Z,1715731200,-6.8859
2024-05-15T03:00:00Z,1715742000,-7.20682
2024-05-15T06:00:00Z,1715752800,-7.23997
2024-05-15T09:00:00Z,1715763600,-7.19358
2024-05-15T12:00:00Z,1715774400,-7.01194
2024-05-15T15:00:00Z,1715785200,-6.77646
2024-05-15T18:00:00Z,1715796000,-6.5875
2024-05-15T21:00:00Z,1715806800,-6.65189
2024-05-16T00:00:00Z,1715817600,-7.62006
2024-05-16T03:00:00Z,1715828400,-8.54496
2024-05-16T06:00:00Z,1715839200,-9.23386
2024-05-16T09:00:00Z,1715850000,-8.32853
2024-05-16T12:00:00Z,1715860800,-8.13785
2024-05-16T15:00:00Z,1715871600,-6.56101
2024-05-16T18:00:00Z,1715882400,-6.15827
2024-05-16T21:00:00Z,1715893200,-5.90165
2024-05-17T00:00:00Z,1715904000,-6.06235
2024-05-17T03:00:00Z,1715914800,-6.6077
2024-05-17T06:00:00Z,1715925600,-7.85728
2024-05-17T09:00:00Z,1715936400,-8.12488
2024-05-17T12:00:00Z,1715947200,-7.27018
2024-05-17T15:00:00Z,1715958000,-7.17753
2024-05-17T18:00:00Z,1715968800,-6.02244
2024-05-17T21:00:00Z,1715979600,-6.04346
2024-05-18T00:00:00Z,1715990400,-8.21049
2024-05-18T03:00:00Z,1716001200,-9.97324
2024-05-18T06:00:00Z,1716012000,-11.4757
2024-05-18T09:00:00Z,1716022800,-11.3107
2024-05-18T12:00:00Z,1716033600,-9.42127
2024-05-18T15:00:00Z,1716044400,-8.02616
2024-05-18T18:00:00Z,1716055200,-6.81043
2024-05-18T21:00:00Z,1716066000,-7.01023
2024-05-19T00:00:00Z,1716076800,-8.54648
2024-05-19T03:00:00Z,1716087600,-9.56934
2024-05-19T06:00:00Z,1716098400,-10.1023
2024-05-19T09:00:00Z,1716109200,-8.70356
2024-05-19T12:00:00Z,1716120000,-6.81907
2024-05-19T15:00:00Z,1716130800,-4.46226
2024-05-19T18:00:00Z,1716141600,-3.27946
2024-05-19T21:00:00Z,1716152400,-3.20994
2024-05-20T00:00:00Z,1716163200,-3.78855
2024-05-20T03:00:00Z,1716174000,-4.73966
2024-05-20T06:00:00Z,1716184800,-5.10361
2024-05-20T09:00:00Z,1716195600,-5.63703
2024-05-20T12:00:00Z,1716206400,-6.08106
2024-05-20T15:00:00Z,1716217200,-4.4694
2024-05-20T18:00:00Z,1716228000,-3.77201
2024-05-20T21:00:00Z,1716238800,-3.61875
2024-05-21T00:00:00Z,1716249600,-4.40494
2024-05-21T03:00:00Z,1716260400,-5.93537
2024-05-21T06:00:00Z,1716271200,-6.22806
2024-05-21T09:00:00Z,1716282000,-6.13004
2024-05-21T12:00:00Z,1716292800,-5.93296
2024-05-21T15:00:00Z,1716303600,-5.55479
2024-05-21T18:00:00Z,1716314400,-5.29282
2024-05-21T21:00:00Z,1716325200,-5.63196
2024-05-22T00:00:00Z,1716336000,-6.81064
2024-05-22T03:00:00Z,1716346800,-7.97501
2024-05-22T06:00:00Z,1716357600,-8.71964
2024-05-22T09:00:00Z,1716368400,-8.76218
2024-05-22T12:00:00Z,1716379200,-7.90208
2024-05-22T15:00:00Z,1716390000,-6.80662
2024-05-22T18:00:00Z,1716400800,-6.15983
2024-05-22T21:00:00Z,1716411600,-6.23667
2024-05-23T00:00:00Z,1716422400,-6.89777
2024-05-23T03:00:00Z,1716433200,-7.83921
2024-05-23T06:00:00Z,1716444000,-8.87833
2024-05-23T09:00:00Z,1716454800,-8.95127
2024-05-23T12:00:00Z,1716465600,-8.01487
2024-05-23T15:00:00Z,1716476400,-6.94901
2024-05-23T18:00:00Z,1716487200,-6.22266
2024-05-23T21:00:00Z,1716498000,-6.25791
2024-05-24T00:00:00Z,1716508800,-7.54566
2024-05-24T03:00:00Z,1716519600,-8.80689
2024-05-24T06:00:00Z,1716530400,-10.1939
2024-05-24T09:00:00Z,1716541200,-10.7392
2024-05-24T12:00:00Z,1716552000,-9.79685
2024-05-24T15:00:00Z,1716562800,-8.10392
2024-05-24T18:00:00Z,1716573600,-6.81443
2024-05-24T21:00:00Z,1716584400,-6.89756
2024-05-25T00:00:00Z,1716595200,-8.4799
2024-05-25T03:00:00Z,1716606000,-10.2095
2024-05-25T06:00:00Z,1716616800,-11.2522
2024-05-25T09:00:00Z,1716627600,-11.8149
2024-05-25T12:00:00Z,1716638400,-10.2203
2024-05-25T15:00:00Z,1716649200,-8.06013
2024-05-25T18:00:00Z,1716660000,-6.53004
2024-05-25T21:00:00Z,1716670800,-6.59379
2024-05-26T00:00:00Z,1716681600,-7.46378
2024-05-26T03:00:00Z,1716692400,-9.03306
2024-05-26T06:00:00Z,1716703200,-9.00046
2024-05-26T09:00:00Z,1716714000,-7.42515
2024-05-26T12:00:00Z,1716724800,-5.34202
2024-05-26T15:00:00Z,1716735600,-3.91489
2024-05-26T18:00:00Z,1716746400,-2.85923
2024-05-26T21:00:00Z,1716757200,-3.14329
2024-05-27T00:00:00Z,1716768000,-4.10709
2024-05-27T03:00:00Z,1716778800,-5.59965
2024-05-27T06:00:00Z,1716789600,-7.18821
2024-05-27T09:00:00Z,1716800400,-5.35877
2024-05-27T12:00:00Z,1716811200,-4.31473
2024-05-27T15:00:00Z,1716822000,-3.52164
2024-05-27T18:00:00Z,1716832800,-4.23191
2024-05-27T21:00:00Z,1716843600,-5.35459
2024-05-28T00:00:00Z,1716854400,-4.22269
2024-05-28T03:00:00Z,1716865200,-4.76194
2024-05-28T06:00:00Z,1716876000,-5.70664
2024-05-28T09:00:00Z,1716886800,-6.54233
2024-05-28T12:00:00Z,1716897600,-6.14933
2024-05-28T15:00:00Z,1716908400,-5.33567
2024-05-28T18:00:00Z,1716919200,-4.86628
2024-05-28T21:00:00Z,1716930000,-4.78239
2024-05-29T00:00:00Z,1716940800,-5.35154
2024-05-29T03:00:00Z,1716951600,-5.30814
2024-05-29T06:00:00Z,1716962400,-6.06064
2024-05-29T09:00:00Z,1716973200,-5.37421
2024-05-29T12:00:00Z,1716984000,-4.72831
2024-05-29T15:00:00Z,1716994800,-4.32245
2024-05-29T18:00:00Z,1717005600,-4.44068
2024-05-29T21:00:00Z,1717016400,-4.80054
2024-05-30T00:00:00Z,1717027200,-5.2768
2024-05-30T03:00:00Z,1717038000,-6.04215
2024-05-30T06:00:00Z,1717048800,-5.98661
2024-05-30T09:00:00Z,1717059600,-6.12589
2024-05-30T12:00:00Z,1717070400,-6.13212
2024-05-30T15:00:00Z,1717081200,-4.73411
2024-05-30T18:00:00Z,1717092000,-4.43174
2024-05-30T21:00:00Z,1717102800,-5.42686
2024-05-31T00:00:00Z,1717113600,-7.5853
2024-05-31T03:00:00Z,1717124400,-9.53275
2024-05-31T06:00:00Z,1717135200,-11.3096
2024-05-31T09:00:00Z,1717146000,-11.3136
2024-05-31T12:00:00Z,1717156800,-9.34269
2024-05-31T15:00:00Z,1717167600,-6.80881
2024-05-31T18:00:00Z,1717178400,-5.19572
2024-05-31T21:00:00Z,1717189200,-4.73975
2024-06-01T00:00:00Z,1717200000,-5.40568
2024-06-01T03:00:00Z,1717210800,-5.61405
2024-06-01T06:00:00Z,1717221600,-6.18787
2024-06-01T09:00:00Z,1717232400,-5.848
2024-06-01T12:00:00Z,1717243200,-5.40266
2024-06-01T15:00:00Z,1717254000,-4.83311
2024-06-01T18:00:00Z,1717264800,-3.84165
2024-06-01T21:00:00Z,1717275600,-4.26316
2024-06-02T00:00:00Z,1717286400,-5.10343
2024-06-02T03:00:00Z,1717297200,-6.12357
2024-06-02T06:00:00Z,1717308000,-6.84849
2024-06-02T09:00:00Z,1717318800,-7.4415
2024-06-02T12:00:00Z,1717329600,-5.75709
2024-06-02T15:00:00Z,1717340400,-4.69102
2024-06-02T18:00:00Z,1717351200,-2.67084
2024-06-02T21:00:00Z,1717362000,-0.743262
2024-06-03T00:00:00Z,1717372800,-1.07047
2024-06-03T03:00:00Z,1717383600,-2.24927
2024-06-03T06:00:00Z,1717394400,-3.56315
2024-06-03T09:00:00Z,1717405200,-2.93802
2024-06-03T12:00:00Z,1717416000,-0.936133
2024-06-03T15:00:00Z,1717426800,-0.12583
2024-06-03T18:00:00Z,1717437600,-0.234717
2024-06-03T21:00:00Z,1717448400,-0.451605
2024-06-04T00:00:00Z,1717459200,-1.41227
2024-06-04T03:00:00Z,1717470000,-1.37034
2024-06-04T06:00:00Z,1717480800,-2.56467
2024-06-04T09:00:00Z,1717491600,-3.25068
2024-06-04T12:00:00Z,1717502400,-4.86869
2024-06-04T15:00:00Z,1717513200,-4.14933
2024-06-04T18:00:00Z,1717524000,-3.27738
2024-06-04T21:00:00Z,1717534800,-2.85871
2024-06-05T00:00:00Z,1717545600,-3.40116
2024-06-05T03:00:00Z,1717556400,-3.85264
2024-06-05T06:00:00Z,1717567200,-4.21049
2024-06-05T09:00:00Z,1717578000,-4.31168
2024-06-05T12:00:00Z,1717588800,-3.87891
2024-06-05T15:00:00Z,1717599600,-3.33695
2024-06-05T18:00:00Z,1717610400,-2.93918
2024-06-05T21:00:00Z,1717621200,-2.8223
2024-06-06T00:00:00Z,1717632000,-3.57365
2024-06-06T03:00:00Z,1717642800,-4.61875
2024-06-06T06:00:00Z,1717653600,-4.63444
2024-06-06T09:00:00Z,1717664400,-4.36545
2024-06-06T12:00:00Z,1717675200,-3.25742
2024-06-06T15:00:00Z,1717686000,-2.25498
2024-06-06T18:00:00Z,1717696800,-1.63584
2024-06-06T21:00:00Z,1717707600,-1.45948
2024-06-07T00:00:00Z,1717718400,-1.72996
2024-06-07T03:00:00Z,1717729200,-2.15244
2024-06-07T06:00:00Z,1717740000,-2.03821
2024-06-07T09:00:00Z,1717750800,-1.18021
2024-06-07T12:00:00Z,1717761600,-0.439551
2024-06-07T15:00:00Z,1717772400,-0.0320801
2024-06-07T18:00:00Z,1717783200,-0.245459
2024-06-07T21:00:00Z,1717794000,-0.426855
2024-06-08T00:00:00Z,1717804800,-0.749182
2024-06-08T03:00:00Z,1717815600,-1.28983
2024-06-08T06:00:00Z,1717826400,-1.70774
2024-06-08T09:00:00Z,1717837200,-1.56779
2024-06-08T12:00:00Z,1717848000,-1.22129
2024-06-08T15:00:00Z,1717858800,-0.721533
2024-06-08T18:00:00Z,1717869600,-0.609473
2024-06-08T21:00:00Z,1717880400,-0.573096
2024-06-09T00:00:00Z,1717891200,-0.74726
2024-06-09T03:00:00Z,1717902000,-1.06702
2024-06-09T06:00:00Z,1717912800,-1.50101
2024-06-09T09:00:00Z,1717923600,-0.936346
2024-06-09T12:00:00Z,1717934400,-0.292334
2024-06-09T15:00:00Z,1717945200,-0.00766602
2024-06-09T18:00:00Z,1717956000,-0.00766602
2024-06-09T21:00:00Z,1717966800,-0.00821533
2024-06-10T00:00:00Z,1717977600,-0.00150146
2024-06-10T03:00:00Z,1717988400,-0.585822
2024-06-10T06:00:00Z,1717999200,-0.727515
2024-06-10T09:00:00Z,1718010000,-0.479773
2024-06-10T12:00:00Z,1718020800,-0.00180664
2024-06-10T15:00:00Z,1718031600,-0.00229492
2024-06-10T18:00:00Z,1718042400,-0.00107422
2024-06-10T21:00:00Z,1718053200,-0.00107422
2024-06-11T00:00:00Z,1718064000,-0.02677
2024-06-11T03:00:00Z,1718074800,-0.0271057
2024-06-11T06:00:00Z,1718085600,-1.20746
2024-06-11T09:00:00Z,1718096400,-1.07041
2024-06-11T12:00:00Z,1718107200,-0.119238
2024-06-11T15:00:00Z,1718118000,-0.0274414
2024-06-11T18:00:00Z,1718128800,-0.0259766
2024-06-11T21:00:00Z,1718139600,-0.0264648
2024-06-12T00:00:00Z,1718150400,-0.0206665
2024-06-12T03:00:00Z,1718161200,-0.0202087
2024-06-12T06:00:00Z,1718172000,-0.0208191
2024-06-12T09:00:00Z,1718182800,-0.0205444
2024-06-12T12:00:00Z,1718193600,-0.0206055
2024-06-12T15:00:00Z,1718204400,-0.0210937
2024-06-12T18:00:00Z,1718215200,-0.0203613
2024-06-12T21:00:00Z,1718226000,-0.0210937
2024-06-13T00:00:00Z,1718236800,-0.00473633
2024-06-13T03:00:00Z,1718247600,-0.971533
2024-06-13T06:00:00Z,1718258400,-3.01279
2024-06-13T09:00:00Z,1718269200,-1.99454
2024-06-13T12:00:00Z,1718280000,-0.00424805
2024-06-13T15:00:00Z,1718290800,-0.00473633
2024-06-13T18:00:00Z,1718301600,-0.00473633
2024-06-13T21:00:00Z,1718312400,-0.00449219
2024-06-14T00:00:00Z,1718323200,0.010675
2024-06-14T03:00:00Z,1718334000,-0.290961
2024-06-14T06:00:00Z,1718344800,-1.60865
2024-06-14T09:00:00Z,1718355600,0.00924072
